age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41,3,17,12,176,9.3,11.359392,5.008607999999999,1
27,1,10,6,31,17.299999999999997,1.3622019999999997,4.000798,0
40,1,15,14,55,5.5,0.8560749999999999,2.1689249999999998,0
41,1,15,14,120,2.9000000000000004,2.6587199999999998,0.8212800000000002,0
24,2,2,0,28,17.299999999999997,1.7874359999999998,3.056564,1
41,2,5,5,25,10.2,0.3927,2.1572999999999998,0
39,1,20,9,67,30.599999999999998,3.833874,16.668126,0
43,1,12,11,38,3.5999999999999996,0.12859199999999998,1.2394079999999998,0
24,1,3,4,19,24.4,1.3583479999999999,3.2776520000000002,1
36,1,0,13,25,19.7,2.7777,2.1473,0
27,1,0,1,16,1.7000000000000002,0.182512,0.08948800000000001,0
25,1,4,0,23,5.2,0.25235599999999997,0.9436439999999999,0
52,1,24,14,64,10,3.9296,2.4704,0
37,1,6,9,29,16.3,1.7159010000000001,3.011099,0
48,1,22,15,100,9.1,3.7037,5.3963,0
36,2,9,6,49,8.6,0.8175159999999999,3.3964839999999996,1
36,2,13,6,41,16.400000000000002,2.9182159999999997,3.8057840000000005,1
43,1,23,19,72,7.6,1.181952,4.290048,0
39,1,6,9,61,5.7,0.563274,2.9137260000000005,0
41,3,0,21,26,1.7000000000000002,0.09900800000000001,0.3429920000000001,0
39,1,22,3,52,3.2,1.154816,0.5091840000000001,0
47,1,17,21,43,5.6000000000000005,0.5875520000000001,1.8204479999999998,0
28,1,3,6,26,10,0.43160000000000004,2.1684,0
29,1,8,6,27,9.8,0.402192,2.243808,0
21,2,1,2,16,18,0.24192,2.63808,1
25,4,0,2,32,17.599999999999998,2.14016,3.49184,0
45,2,9,26,69,6.7,0.707319,3.915681,0
43,1,25,21,64,16.7,0.9512320000000001,9.736768000000001,0
33,2,12,8,58,18.4,3.0842080000000003,7.587792,0
26,3,2,1,37,14.2,0.20490599999999998,5.049093999999999,0
45,1,3,15,20,2.1,0.10500000000000001,0.31500000000000006,0
30,1,1,10,22,10.5,1.13883,1.17117,0
27,3,2,7,26,6,0.7222799999999999,0.8377200000000001,0
25,1,8,4,27,14.399999999999999,1.018656,2.869344,0
25,1,8,1,35,2.9000000000000004,0.07714000000000001,0.9378600000000001,0
26,2,6,7,45,26,6.048900000000001,5.6511000000000005,0
30,2,10,4,22,16.1,1.4097160000000002,2.1322840000000003,0
32,2,12,1,54,14.399999999999999,3.1959359999999997,4.580064,0
28,2,1,8,24,17.1,1.337904,2.766096,1
45,1,23,5,50,4.2,0.5586,1.5414,0
23,1,7,2,31,6.6000000000000005,0.33759000000000006,1.7084100000000002,0
34,1,17,3,59,8,1.80776,2.9122399999999997,0
42,2,7,23,41,4.6,0.9411139999999999,0.944886,0
39,1,19,5,48,13.100000000000001,1.9304160000000001,4.357584,0
26,1,0,0,14,7.5,0.30240000000000006,0.7476,1
21,2,0,1,16,6.800000000000001,0.150144,0.937856,0
35,1,13,15,35,4.5,0.43155,1.14345,0
47,1,4,2,26,10.4,0.12168,2.5823199999999997,0
23,2,0,2,21,11.4,0.775656,1.618344,1
35,1,18,2,42,7.3999999999999995,0.20512799999999998,2.9028719999999995,0
34,1,2,11,25,12.6,0.5732999999999999,2.5766999999999998,1
46,1,1,12,20,14.000000000000002,0.8092,1.9908000000000001,0
46,1,16,18,52,12.9,3.032016,3.675984,1
38,3,3,18,25,3.6999999999999997,0.311725,0.613275,0
40,2,3,2,28,9.5,0.55328,2.10672,0
37,1,1,3,24,15.1,1.8011279999999998,1.8228719999999998,1
35,1,9,1,34,5,0.39780000000000004,1.3022,0
39,2,16,13,69,2.4,1.061496,0.5945040000000001,0
40,3,18,6,100,2.5,1.485,1.015,0
50,3,10,20,80,12.2,2.47904,7.28096,0
31,1,9,10,28,2.4,0.047712000000000004,0.6242880000000001,0
29,1,13,1,42,7.3999999999999995,1.4576519999999997,1.650348,1
37,1,4,0,23,12.4,0.86986,1.9821399999999998,0
33,2,4,9,55,7.000000000000001,2.1598500000000005,1.69015,0
26,2,5,7,28,7.8,1.024296,1.159704,0
32,2,11,6,75,23.3,7.758900000000001,9.7161,1
28,2,2,3,23,6.4,0.186944,1.285056,1
39,1,19,8,46,9.1,2.515786,1.670214,0
28,2,8,3,31,8.200000000000001,1.4921540000000002,1.049846,1
29,1,1,2,20,18.6,0.56916,3.1508399999999996,1
34,2,3,8,21,23.1,1.401939,3.449061,0
28,2,5,9,34,23.799999999999997,3.0992359999999994,4.992763999999999,0
47,1,26,21,100,12.8,4.582400000000001,8.217600000000001,0
43,4,1,5,26,10.6,1.5185559999999998,1.237444,0
41,1,13,10,44,1.7000000000000002,0.07106,0.67694,0
47,1,13,25,51,23.799999999999997,3.738504,8.399496,0
24,1,2,1,21,0.6,0.025074000000000003,0.100926,0
29,1,1,9,17,6.7,0.157182,0.9818180000000001,0
33,1,14,2,37,2.6,0.19913399999999998,0.762866,0
36,1,15,10,39,3.2,0.6864,0.5616,0
26,1,4,3,27,10.5,2.47212,0.3628800000000001,1
31,1,11,12,45,17,2.7387,4.911300000000001,0
37,1,7,3,32,19.6,2.6969600000000002,3.57504,0
35,4,4,16,29,11,1.84382,1.34618,0
26,1,4,3,20,5.4,0.31860000000000005,0.7614000000000001,0
40,1,10,15,45,18.8,2.0134800000000004,6.4465200000000005,0
29,2,5,4,36,12.4,3.4908480000000006,0.9731519999999998,1
37,3,5,17,29,24.6,1.4053980000000001,5.728602,0
32,1,12,12,28,2.9000000000000004,0.11611600000000001,0.6958840000000001,0
23,2,0,1,17,27.700000000000003,2.0437060000000002,2.6652940000000003,1
32,1,3,10,23,6.2,0.052762,1.373238,0
25,1,1,6,15,11.4,0.37107,1.33893,1
38,1,5,5,54,10.6,1.4996880000000001,4.224312,0
32,2,0,6,18,5.800000000000001,0.29649600000000004,0.747504,1
41,3,2,0,15,26.3,1.960665,1.9843350000000002,1
36,1,17,6,54,4.3999999999999995,0.7270559999999999,1.648944,0
